ダウンロードした時刻：2020/04/16 00:18:45,,,,,,,,,
,,,,,,,,,
,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
2019/2/18,薄曇後時々晴,8,1,60,8,1,7.1,8,1
2019/2/19,雨,8,1,84,8,1,9,8,1
2019/2/20,曇一時晴,8,1,76,8,1,12.5,8,1
2019/2/21,曇,8,1,54,8,1,8.2,8,1
2019/2/22,曇一時晴,8,1,52,8,1,9.2,8,1
2019/2/23,晴時々曇,8,1,47,8,1,9.1,8,1
2019/2/24,薄曇,8,1,51,8,1,8.7,8,1
2019/2/25,晴後薄曇,8,1,60,8,1,10.6,8,1
2019/2/26,快晴,8,1,49,8,1,9.9,8,1
2019/2/27,曇,8,1,48,8,1,8.8,8,1
2019/2/28,雨後曇,8,1,82,8,1,10.2,8,1
2019/3/1,晴,8,1,60,8,1,10.5,8,1
2019/3/2,晴後曇,8,1,48,8,1,9.8,8,1
2019/3/3,曇一時雨,8,1,60,8,1,9.7,8,1
2019/3/4,雨時々曇,8,1,84,8,1,9.5,8,1
2019/3/5,晴後薄曇,8,1,54,8,1,11.4,8,1
2019/3/6,曇後雨,8,1,63,8,1,11.4,8,1
2019/3/7,曇一時雨,8,1,72,8,1,9.3,8,1
2019/3/8,晴,8,1,49,8,1,7.9,8,1
2019/3/9,晴後一時薄曇,8,1,57,8,1,9.3,8,1
2019/3/10,雨時々曇,8,1,76,8,1,10.9,8,1
2019/3/11,曇一時雨,8,1,74,8,1,12.2,8,1
2019/3/12,晴一時曇,8,1,68,8,1,11.1,8,1
2019/3/13,晴一時雨,8,1,45,8,1,9.5,8,1
2019/3/14,曇時々晴,8,1,56,8,1,7.5,8,1
2019/3/15,晴,8,1,56,8,1,9,8,1
2019/3/16,曇一時雨、雷・あられを伴う,8,1,70,8,1,7.8,8,1
2019/3/17,曇時々晴一時雨,8,1,72,8,1,7.4,8,1
2019/3/18,晴後薄曇,8,1,59,8,1,8.8,8,1
2019/3/19,雨後曇,8,1,66,8,1,10.8,8,1
2019/3/20,晴後薄曇,8,1,65,8,1,13.3,8,1
2019/3/21,曇一時雨,8,1,81,8,1,16.1,8,1
2019/3/22,曇後時々晴,8,1,62,8,1,12.3,8,1
2019/3/23,曇一時晴,8,1,46,8,1,8,8,1
2019/3/24,晴一時曇,8,1,55,8,1,8.5,8,1
2019/3/25,曇,8,1,53,8,1,10.2,8,1
2019/3/26,晴,8,1,53,8,1,12.8,8,1
2019/3/27,薄曇一時晴,8,1,46,8,1,14.7,8,1
2019/3/28,曇,8,1,57,8,1,13.5,8,1
2019/3/29,薄曇,8,1,48,8,1,12.1,8,1
2019/3/30,曇後雨,8,1,68,8,1,12.9,8,1
2019/3/31,晴後曇時々雨,8,1,53,8,1,11,8,1
2019/4/1,晴時々曇一時雨、雷・あられを伴う,8,1,62,8,1,8.1,8,1
2019/4/2,晴後曇一時雨,8,1,53,8,1,7.7,8,1
2019/4/3,晴一時曇,8,1,47,8,1,8.5,8,1
2019/4/4,快晴,8,1,52,8,1,10.8,8,1
2019/4/5,薄曇,8,1,49,8,1,14.2,8,1
2019/4/6,快晴,8,1,47,8,1,15.7,8,1
2019/4/7,晴一時薄曇,8,1,44,8,1,16.4,8,1
2019/4/8,晴,8,1,60,8,1,14.4,8,1
2019/4/9,晴,8,1,39,8,1,12.3,8,1
2019/4/10,雨後一時曇,8,1,85,8,1,9.3,8,1
2019/4/11,晴後曇,8,1,53,8,1,11.4,8,1
2019/4/12,薄曇後時々晴,8,1,42,8,1,12,8,1
2019/4/13,晴後薄曇,8,1,50,8,1,12.7,8,1
2019/4/14,曇後雨,8,1,74,8,1,13.6,8,1
2019/4/15,晴,8,1,51,8,1,14,8,1
2019/4/16,晴後薄曇,8,1,43,8,1,14.7,8,1
2019/4/17,曇後一時雨,8,1,59,8,1,15.9,8,1
2019/4/18,薄曇時々晴,8,1,63,8,1,17.1,8,1
2019/4/19,曇一時晴,8,1,63,8,1,16.8,8,1
2019/4/20,快晴,8,1,49,8,1,16.1,8,1
2019/4/21,晴後一時薄曇,8,1,71,8,1,19.7,8,1
2019/4/22,晴一時曇,8,1,54,8,1,21.2,8,1
2019/4/23,薄曇,8,1,63,8,1,19.5,8,1
2019/4/24,曇時々雨,8,1,75,8,1,20.5,8,1
2019/4/25,曇後一時晴,8,1,79,8,1,20.5,8,1
2019/4/26,曇後晴,8,1,76,8,1,17.8,8,1
2019/4/27,晴時々曇,8,1,53,8,1,12.2,8,1
2019/4/28,曇,8,1,50,8,1,13.3,8,1
2019/4/29,曇後時々雨,8,1,63,8,1,14.4,8,1
2019/4/30,曇一時雨,8,1,81,8,1,17.3,8,1
2019/5/1,雨時々曇,8,1,88,8,1,16.7,8,1
2019/5/2,晴後一時薄曇,8,1,57,8,1,18.7,8,1
2019/5/3,薄曇後時々晴、雷を伴う,8,1,53,8,1,20.1,8,1
2019/5/4,快晴,8,1,39,8,1,20.5,8,1
2019/5/5,薄曇時々晴,8,1,51,8,1,19.8,8,1
2019/5/6,曇後一時雨、雷を伴う,8,1,63,8,1,18.7,8,1
2019/5/7,快晴,8,1,39,8,1,14.8,8,1
2019/5/8,晴後薄曇,8,1,36,8,1,16,8,1
2019/5/9,曇後一時晴,8,1,53,8,1,18.1,8,1
2019/5/10,薄曇,8,1,56,8,1,20.5,8,1
2019/5/11,快晴,8,1,38,8,1,22.8,8,1
2019/5/12,薄曇時々晴,8,1,40,8,1,22.1,8,1
2019/5/13,晴後薄曇,8,1,63,8,1,21.8,8,1
2019/5/14,曇後一時雨,8,1,69,8,1,19.8,8,1
2019/5/15,薄曇,8,1,63,8,1,21,8,1
2019/5/16,曇一時晴,8,1,61,8,1,21.7,8,1
2019/5/17,曇一時晴,8,1,57,8,1,21.9,8,1
2019/5/18,曇,8,1,57,8,1,21.3,8,1
2019/5/19,薄曇,8,1,53,8,1,22.2,8,1
2019/5/20,曇後時々雨,8,1,63,8,1,22,8,1
2019/5/21,曇一時雨後晴,8,1,61,8,1,20.8,8,1
2019/5/22,晴時々薄曇,8,1,37,8,1,21,8,1
2019/5/23,快晴,8,1,38,8,1,22.5,8,1
2019/5/24,快晴,8,1,41,8,1,24.5,8,1
2019/5/25,晴後一時薄曇,8,1,43,8,1,25.7,8,1
2019/5/26,薄曇後時々晴,8,1,58,8,1,25.7,8,1
2019/5/27,曇一時晴,8,1,51,8,1,25.5,8,1
2019/5/28,雨一時曇,8,1,86,8,1,20.9,8,1
2019/5/29,薄曇,8,1,52,8,1,20.3,8,1
2019/5/30,晴後薄曇,8,1,42,8,1,21.8,8,1
2019/5/31,曇,8,1,58,8,1,21.6,8,1
2019/6/1,薄曇後一時晴,8,1,60,8,1,22.5,8,1
2019/6/2,曇後時々雨,8,1,67,8,1,21.7,8,1
2019/6/3,薄曇一時晴,8,1,63,8,1,23.9,8,1
2019/6/4,曇,8,1,74,8,1,24.2,8,1
2019/6/5,曇後晴,8,1,69,8,1,25,8,1
2019/6/6,晴後薄曇,8,1,59,8,1,26.2,8,1
2019/6/7,大雨時々曇,8,1,86,8,1,21.6,8,1
2019/6/8,曇,8,1,70,8,1,21.9,8,1
2019/6/9,晴後曇,8,1,66,8,1,21.9,8,1
2019/6/10,曇時々雨,8,1,78,8,1,21.3,8,1
2019/6/11,曇後晴,8,1,66,8,1,22.5,8,1
2019/6/12,晴,8,1,62,8,1,22.5,8,1
2019/6/13,晴,8,1,62,8,1,23.6,8,1
2019/6/14,曇後一時雨,8,1,70,8,1,23.3,8,1
2019/6/15,曇時々晴一時雨、雷を伴う,8,1,79,8,1,21.1,8,1
2019/6/16,曇,8,1,67,8,1,21.1,8,1
2019/6/17,薄曇後晴,8,1,58,8,1,21.6,8,1
2019/6/18,薄曇,8,1,61,8,1,22.6,8,1
2019/6/19,薄曇,8,1,66,8,1,24.3,8,1
2019/6/20,晴,8,1,63,8,1,26,8,1
2019/6/21,曇後一時雨,8,1,68,8,1,25.1,8,1
2019/6/22,晴後曇一時雨,8,1,70,8,1,24.8,8,1
2019/6/23,曇一時晴,8,1,65,8,1,23.3,8,1
2019/6/24,晴,8,1,59,8,1,23.8,8,1
2019/6/25,晴,8,1,57,8,1,25,8,1
2019/6/26,曇,8,1,65,8,1,25.5,8,1
2019/6/27,雨一時曇,8,1,87,8,1,24.7,8,1
2019/6/28,曇,8,1,81,8,1,26.5,8,1
2019/6/29,曇,8,1,80,8,1,27.1,8,1
2019/6/30,曇時々雨,8,1,88,8,1,26.6,8,1
2019/7/1,曇一時雨,8,1,84,8,1,24.9,8,1
2019/7/2,曇一時雨,8,1,83,8,1,24.5,8,1
2019/7/3,曇後時々雨,8,1,85,8,1,24.7,8,1
2019/7/4,曇,8,1,80,8,1,25.5,8,1
2019/7/5,曇,8,1,74,8,1,24.5,8,1
2019/7/6,曇後時々晴,8,1,70,8,1,24.5,8,1
2019/7/7,晴時々曇,8,1,64,8,1,26.4,8,1
2019/7/8,曇一時晴,8,1,71,8,1,25.8,8,1
2019/7/9,曇後一時雨,8,1,79,8,1,24.6,8,1
2019/7/10,曇,8,1,67,8,1,26,8,1
2019/7/11,雨時々曇,8,1,85,8,1,23.3,8,1
2019/7/12,晴一時曇,8,1,74,8,1,25.2,8,1
2019/7/13,雨時々曇,8,1,81,8,1,23.9,8,1
2019/7/14,曇時々雨,8,1,92,8,1,23.1,8,1
2019/7/15,曇一時晴,8,1,77,8,1,25.2,8,1
2019/7/16,曇一時晴,8,1,71,8,1,26.6,8,1
2019/7/17,晴時々曇,8,1,76,8,1,27.1,8,1
2019/7/18,曇後時々雨,8,1,85,8,1,26.3,8,1
2019/7/19,雨後一時曇,8,1,95,8,1,24.6,8,1
2019/7/20,曇,8,1,85,8,1,26.8,8,1
2019/7/21,曇,8,1,72,8,1,28.7,8,1
2019/7/22,曇時々雨,8,1,85,8,1,27.2,8,1
2019/7/23,曇時々晴一時雨,8,1,85,8,1,27,8,1
2019/7/24,曇後晴,8,1,73,8,1,28.8,8,1
2019/7/25,晴時々曇、雷を伴う,8,1,69,8,1,29.7,8,1
2019/7/26,晴時々曇,8,1,69,8,1,29.1,8,1
2019/7/27,曇時々雨,8,1,88,8,1,26.4,8,1
2019/7/28,晴,8,1,74,8,1,28.9,8,1
2019/7/29,晴,8,1,68,8,1,30.3,8,1
2019/7/30,晴,8,1,72,8,1,30.5,8,1
2019/7/31,晴,8,1,66,8,1,31.2,8,1
2019/8/1,晴,8,1,66,8,1,31.7,8,1
2019/8/2,晴,8,1,69,8,1,31.4,8,1
2019/8/3,晴,8,1,70,8,1,30.5,8,1
2019/8/4,晴,8,1,67,8,1,30.4,8,1
2019/8/5,晴後一時曇,8,1,61,8,1,30.9,8,1
2019/8/6,曇,8,1,67,8,1,31,8,1
2019/8/7,晴後一時曇,8,1,68,8,1,30.4,8,1
2019/8/8,晴,8,1,68,8,1,30.2,8,1
2019/8/9,薄曇時々晴,8,1,68,8,1,30.2,8,1
2019/8/10,晴後一時薄曇,8,1,67,8,1,30.7,8,1
2019/8/11,晴後一時薄曇,8,1,68,8,1,30.8,8,1
2019/8/12,薄曇,8,1,64,8,1,31.1,8,1
2019/8/13,晴一時曇,8,1,65,8,1,31.2,8,1
2019/8/14,晴時々曇一時雨,8,1,69,8,1,30.7,8,1
2019/8/15,曇時々雨,8,1,76,8,1,29.2,8,1
2019/8/16,晴時々曇,8,1,74,8,1,29.7,8,1
2019/8/17,晴一時曇,8,1,65,8,1,30.2,8,1
2019/8/18,晴,8,1,68,8,1,30.1,8,1
2019/8/19,曇後時々雨、雷を伴う,8,1,78,8,1,28.2,8,1
2019/8/20,曇一時雨,8,1,81,8,1,28.4,8,1
2019/8/21,曇時々晴,8,1,73,8,1,30.2,8,1
2019/8/22,曇一時晴,8,1,70,8,1,30,8,1
2019/8/23,曇時々雨、雷を伴う,8,1,85,8,1,26.8,8,1
2019/8/24,曇一時晴,8,1,77,8,1,26,8,1
2019/8/25,晴一時曇,8,1,71,8,1,25.8,8,1
2019/8/26,晴後一時曇,8,1,68,8,1,26.5,8,1
2019/8/27,曇時々雨,8,1,80,8,1,25.4,8,1
2019/8/28,雨時々曇,8,1,84,8,1,26.9,8,1
2019/8/29,曇後時々晴,8,1,79,8,1,28.5,8,1
2019/8/30,曇時々雨、雷を伴う,8,1,90,8,1,25.5,8,1
2019/8/31,曇時々晴後時々雨,8,1,79,8,1,24.4,8,1
2019/9/1,曇,8,1,76,8,1,26,8,1
2019/9/2,曇,8,1,71,8,1,28.3,8,1
2019/9/3,晴,8,1,69,8,1,29.2,8,1
2019/9/4,曇時々晴後一時雨、雷を伴う,8,1,78,8,1,27.8,8,1
2019/9/5,曇後時々大雨、雷を伴う,8,1,83,8,1,26.8,8,1
2019/9/6,晴,8,1,68,8,1,29.2,8,1
2019/9/7,曇後晴,8,1,67,8,1,29.6,8,1
2019/9/8,晴,8,1,65,8,1,30.5,8,1
2019/9/9,晴後一時薄曇,8,1,69,8,1,30.3,8,1
2019/9/10,晴、雷を伴う,8,1,67,8,1,30.9,8,1
2019/9/11,曇時々晴一時雨、雷を伴う,8,1,77,8,1,29.1,8,1
2019/9/12,晴後一時薄曇,8,1,60,8,1,26.4,8,1
2019/9/13,雨後曇,8,1,82,8,1,23.3,8,1
2019/9/14,晴後一時曇,8,1,59,8,1,27,8,1
2019/9/15,晴,8,1,61,8,1,27.7,8,1
2019/9/16,晴一時曇,8,1,63,8,1,27.3,8,1
2019/9/17,晴後時々曇,8,1,64,8,1,26.9,8,1
2019/9/18,晴時々曇,8,1,62,8,1,25.4,8,1
2019/9/19,晴一時曇,8,1,54,8,1,23.1,8,1
2019/9/20,晴後雨時々曇,8,1,68,8,1,21.2,8,1
2019/9/21,曇,8,1,82,8,1,21.3,8,1
2019/9/22,曇後一時雨,8,1,77,8,1,24.6,8,1
2019/9/23,曇一時雨,8,1,68,8,1,26.4,8,1
2019/9/24,曇後一時雨,8,1,69,8,1,23,8,1
2019/9/25,晴,8,1,63,8,1,23.5,8,1
2019/9/26,晴,8,1,66,8,1,25.1,8,1
2019/9/27,曇,8,1,71,8,1,26,8,1
2019/9/28,曇,8,1,64,8,1,26.2,8,1
2019/9/29,曇一時晴,8,1,67,8,1,27.1,8,1
2019/9/30,曇一時晴,8,1,65,8,1,27.7,8,1
2019/10/1,晴後一時曇,8,1,68,8,1,27.4,8,1
2019/10/2,曇一時雨,8,1,68,8,1,26.1,8,1
2019/10/3,曇一時晴後雨,8,1,71,8,1,24.5,8,1
2019/10/4,晴,8,1,65,8,1,25.1,8,1
2019/10/5,曇後晴,8,1,62,8,1,23.4,8,1
2019/10/6,曇時々晴,8,1,61,8,1,22.3,8,1
2019/10/7,晴後一時曇,8,1,65,8,1,22.4,8,1
2019/10/8,曇一時雨,8,1,73,8,1,22.3,8,1
2019/10/9,快晴,8,1,49,8,1,19.9,8,1
2019/10/10,晴後一時曇,8,1,61,8,1,22.6,8,1
2019/10/11,曇,8,1,70,8,1,24.6,8,1
2019/10/12,大雨,8,1,88,8,1,21.5,8,1
2019/10/13,晴時々曇,8,1,68,8,1,19.4,8,1
2019/10/14,曇一時雨,8,1,76,8,1,19,8,1
2019/10/15,晴一時曇,8,1,64,8,1,18.4,8,1
2019/10/16,快晴,8,1,60,8,1,16.9,8,1
2019/10/17,曇,8,1,69,8,1,18.5,8,1
2019/10/18,曇時々雨,8,1,81,8,1,20.3,8,1
2019/10/19,曇,8,1,84,8,1,21.5,8,1
2019/10/20,曇,8,1,67,8,1,20.7,8,1
2019/10/21,曇後時々雨,8,1,80,8,1,18.6,8,1
2019/10/22,曇時々晴,8,1,75,8,1,20.1,8,1
2019/10/23,曇,8,1,68,8,1,20.7,8,1
2019/10/24,雨時々曇,8,1,86,8,1,18.8,8,1
2019/10/25,雨時々曇,8,1,88,8,1,17.7,8,1
2019/10/26,曇後晴,8,1,80,8,1,19.3,8,1
2019/10/27,曇時々晴,8,1,72,8,1,19,8,1
2019/10/28,晴時々薄曇,8,1,59,8,1,18.6,8,1
2019/10/29,雨後曇,8,1,88,8,1,16.2,8,1
2019/10/30,晴後一時薄曇、霧を伴う,8,1,74,8,1,17.5,8,1
2019/10/31,薄曇後晴,8,1,69,8,1,17.4,8,1
2019/11/1,晴,8,1,68,8,1,17.6,8,1
2019/11/2,晴,8,1,55,8,1,16.6,8,1
2019/11/3,曇一時晴,8,1,66,8,1,16.6,8,1
2019/11/4,晴,8,1,58,8,1,15.6,8,1
2019/11/5,快晴,8,1,58,8,1,14.6,8,1
2019/11/6,快晴,8,1,63,8,1,14.4,8,1
2019/11/7,薄曇時々晴,8,1,63,8,1,15.5,8,1
2019/11/8,晴,8,1,53,8,1,14.9,8,1
2019/11/9,晴,8,1,57,8,1,14.4,8,1
2019/11/10,晴後薄曇,8,1,56,8,1,15,8,1
2019/11/11,曇後晴,8,1,61,8,1,16,8,1
2019/11/12,晴,8,1,56,8,1,16.8,8,1
2019/11/13,晴後曇,8,1,61,8,1,16.5,8,1
2019/11/14,曇時々晴,8,1,61,8,1,14.9,8,1
2019/11/15,快晴,8,1,57,8,1,11.2,8,1
2019/11/16,快晴,8,1,70,8,1,13,8,1
2019/11/17,晴後薄曇,8,1,65,8,1,14.6,8,1
2019/11/18,曇時々晴後時々雨,8,1,69,8,1,17.6,8,1
2019/11/19,晴,8,1,53,8,1,14.1,8,1
2019/11/20,晴,8,1,56,8,1,10.7,8,1
2019/11/21,晴,8,1,64,8,1,10.9,8,1
2019/11/22,曇後一時雨,8,1,69,8,1,12.6,8,1
2019/11/23,晴一時曇,8,1,67,8,1,16.9,8,1
2019/11/24,曇後一時晴,8,1,77,8,1,16.1,8,1
2019/11/25,曇,8,1,74,8,1,15.6,8,1
2019/11/26,曇,8,1,61,8,1,12.8,8,1
2019/11/27,曇,8,1,71,8,1,13.6,8,1
2019/11/28,曇時々雨後時々晴,8,1,67,8,1,10.1,8,1
2019/11/29,晴,8,1,60,8,1,8.4,8,1
2019/11/30,晴,8,1,61,8,1,8.2,8,1
2019/12/1,晴後一時薄曇,8,1,64,8,1,10.4,8,1
2019/12/2,雨後曇時々晴,8,1,77,8,1,13.2,8,1
2019/12/3,晴後時々曇,8,1,51,8,1,9.9,8,1
2019/12/4,晴後時々曇,8,1,54,8,1,9.8,8,1
2019/12/5,晴後曇,8,1,57,8,1,9.3,8,1
2019/12/6,曇,8,1,58,8,1,7.5,8,1
2019/12/7,曇,8,1,63,8,1,7.5,8,1
2019/12/8,晴後曇,8,1,71,8,1,8.5,8,1
2019/12/9,快晴,8,1,67,8,1,8.7,8,1
2019/12/10,晴一時薄曇,8,1,68,8,1,10.1,8,1
2019/12/11,曇,8,1,73,8,1,10.3,8,1
2019/12/12,晴時々曇,8,1,64,8,1,10.1,8,1
2019/12/13,晴時々薄曇,8,1,62,8,1,8.2,8,1
2019/12/14,晴一時曇,8,1,67,8,1,9.2,8,1
2019/12/15,晴一時曇,8,1,55,8,1,8.9,8,1
2019/12/16,晴,8,1,64,8,1,9.3,8,1
2019/12/17,雨時々曇,8,1,86,8,1,12.1,8,1
2019/12/18,曇時々雨,8,1,82,8,1,12.6,8,1
2019/12/19,曇一時晴,8,1,72,8,1,9.1,8,1
2019/12/20,晴後時々曇,8,1,59,5,1,10.4,5,1
2019/12/21,曇,8,1,61,8,1,8.9,8,1
2019/12/22,曇後雨,8,1,77,8,1,7,8,1
2019/12/23,晴,8,1,73,8,1,9.3,8,1
2019/12/24,曇時々晴,8,1,62,8,1,9.5,8,1
2019/12/25,晴後時々薄曇,8,1,60,8,1,9.7,8,1
2019/12/26,雨時々曇,8,1,85,8,1,10,8,1
2019/12/27,晴一時雨,8,1,64,8,1,9.2,8,1
2019/12/28,晴後時々曇,8,1,63,8,1,7.3,8,1
2019/12/29,晴後曇,8,1,65,8,1,8.4,8,1
2019/12/30,雨後曇,8,1,90,8,1,9.7,8,1
2019/12/31,晴時々曇,8,1,67,8,1,9.5,8,1
